MakeSpawnFish, 168
MakeEndGame, 77
MakeModeChange, 53
MakeDisconnectComponent, 1844
MakeConnectComponent, 1903
MakeSummonBoard, 196
MakeStartGame, 63
MakeSnapshot, 2136
MakeResetBoard, 77
MakeAddComponent, 379
ADAGEStartSession, 14
MakeCaptureFish, 126
MakeVisabilityChange, 27
